confirmationnumber,client,program,exam,startdate,enddate,startschedulingdate,endschedulingdate
0000000097035568,CPA,CPA,AUD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097068722,ICMA,ICMA,CMA2D,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097084441,NCARB,ARE50,PPD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097309745,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097310715,NBME,STEP1,STEP1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097312323,CPA,CPA,BEC,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097312407,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097312408,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097312557,USPTO,USPTO,USPRE,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097317620,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097328173,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097328174,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097331565,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097340740,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097347002,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097348257,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097348687,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097354757,CFA,CFA,CFAL2,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097356289,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097358561,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097359515,CFA,CFA,CFAL1,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097359815,CPA,CPA,FAR,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097362495,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097362496,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097366442,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097366443,NBME,STEP3,STEP3,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097369220,CPA,CPA,AUD,06/15/2022,06/15/2022,06/29/2022,07/29/2022
0000000097374999,SHRM,SHRM,CP,06/15/2022,06/15/2022,06/29/2022,07/29/2022
